freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,ED0-2,AM	: 	: 	1697 	: 	: 	: 	: 	1135 	1227 	1200 	1084 	1049 	1080 	768 	: 	955 	945 
A,NR,TOTAL,ED0-2,AT	13372 	13064 	12166 	12096 	11159 	10708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED0-2,AZ	4966 	: 	2444 	478 	: 	3217 	2746 	2531 	2473 	1809 	997 	1146 	1087 	1112 	829 	: 	: 
A,NR,TOTAL,ED0-2,BA	: 	: 	: 	6890 	: 	5040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED0-2,BE	17363 	18167 	17803 	18103 	18677 	19058 	: 	19712 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED0-2,BY	4629 	: 	4663 	: 	4069 	: 	: 	: 	3129 	3064 	2487 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED0-2,CZ	12528 	12365 	12538 	12476 	11571 	11754 	10854 	10762 	10017 	9907 	10234 	10207 	10001 	10023 	9571 	8971 	8546 
A,NR,TOTAL,ED0-2,DK	10627 	10871 	10108 	9853 	8942 	8662 	8147 	7954 	7519 	8277 	7540 	7085 	6972 	6394 	6246 	: 	: 
A,NR,TOTAL,ED0-2,EE	3213 	2839 	2689 	2492 	2274 	2113 	: 	: 	1853 	: 	1740 	1843 	1674 	: 	: 	1405 	1363 
A,NR,TOTAL,ED0-2,EL	27520 	28193 	27091 	25677 	24116 	19439 	13925 	12405 	11591 	11801 	11152 	10490 	9592 	9880 	8547 	7876 	6838 
A,NR,TOTAL,ED0-2,ES	185904 	201278 	185572 	176768 	161484 	149448 	135242 	134590 	131103 	103828 	96837 	88678 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED0-2,FI	8368 	8302 	8443 	8518 	8339 	8545 	8003 	8065 	8094 	8071 	7491 	6423 	6141 	6143 	6196 	2357 	2236 
A,NR,TOTAL,ED0-2,HR	4066 	3698 	3359 	3001 	2752 	2632 	2356 	2297 	2048 	2153 	2016 	2081 	1981 	1818 	1729 	1571 	1443 
A,NR,TOTAL,ED0-2,HU	20268 	20276 	19194 	17887 	17703 	18710 	19019 	19641 	18555 	19396 	18208 	17543 	16834 	16986 	16075 	14793 	13837 
